cpse,material_code,description
CPCL,CP-DEMO-1,HEX BOLT M16 X 50 SS304
BHEL,BH-DEMO-1,HEXAGONAL BOLT M16X50MM STAINLESS STEEL 304
NTPC,NT-DEMO-2,BEARING 6205
ONGC,ON-DEMO-2,BEARING BALL 6205 ZZ
SAIL,SL-DEMO-3,BOLT
CPCL,CP-DEMO-3,VALVE
BHEL,BH-DEMO-4,"VAVLE GATE 4"" 150LB CS FLANGED"
SAIL,SL-DEMO-4,GATE VALVE 4 INCH 150# CARBON STEEL FLG
ONGC,ON-DEMO-5,GASKET TEFLON 2 INCH 150#
NTPC,NT-DEMO-5,"GASKET PTFE 2"" CLASS 150"
BHEL,BHEL-1001,HEX BLOT M12 40 SS304
CPCL,CPCL-1002,HEX BOLT M12 40 SS316
NTPC,NTPC-1003,HEX BOLT M12 40 CS
CPCL,CPCL-1004,40 MS HEX BOLT M12
NTPC,NTPC-1005,HEX BLOT M12 40 HT
SAIL,SAIL-1006,HEX BOLT M12 40 HT
BHEL,BHEL-1007,HEX BLOT M12 50 SS304
NTPC,NTPC-1008,HEX BLOT M12 50 SS304
CPCL,CPCL-1009,50 SS304 HEX BOLT M12
SAIL,SAIL-1010,HEX BLOT M12 50 SS316
ONGC,ONGC-1011,HEX BOLT M12 50
NTPC,NTPC-1012,50 CS HEX BOLT M12
CPCL,CPCL-1013,50 CS HEX BOLT M12
ONGC,ONGC-1014,HEX BLOT M12 50 CS
BHEL,BHEL-1015,HEX BOLT M12 50
SAIL,SAIL-1016,HEX BOLT M12 50 MS
SAIL,SAIL-1017,50 HT HEX BOLT M12
CPCL,CPCL-1018,HEX BLOT M12 50 HT
NTPC,NTPC-1019,HEX BOLT M12 50 HT
SAIL,SAIL-1020,HEX BOLT M12 60 SS304
CPCL,CPCL-1021,HEX BOLT M12 60 SS304
NTPC,NTPC-1022,HEX BOLT M12 60
BHEL,BHEL-1023,HEX BOLT M12 60 SS316
CPCL,CPCL-1024,HEX BOLT M12 60 CS
NTPC,NTPC-1025,HEX BOLT M12 60 CS
BHEL,BHEL-1026,HEX BOLT M12 60 CS
ONGC,ONGC-1027,HEX BOLT M12 60 MS
CPCL,CPCL-1028,HEX BLOT M12 60 MS
ONGC,ONGC-1029,HEX BLOT M12 60 HT
BHEL,BHEL-1030,HEX BOLT M12 60 HT
ONGC,ONGC-1031,75 SS304 HEX BOLT M12
CPCL,CPCL-1032,75 SS304 HEX BOLT M12
ONGC,ONGC-1033,HEX BOLT M12 75 SS316
CPCL,CPCL-1034,HEX BLOT M12 75 SS316
BHEL,BHEL-1035,75 CS HEX BOLT M12
CPCL,CPCL-1036,HEX BOLT M12 75 CS
ONGC,ONGC-1037,HEX BOLT M12 75 MS
BHEL,BHEL-1038,HEX BOLT M12 75 MS
SAIL,SAIL-1039,75 MS HEX BOLT M12
BHEL,BHEL-1040,HEX BOLT M12 75
CPCL,CPCL-1041,HEX BLOT M12 75 HT
SAIL,SAIL-1042,100 SS304 HEX BOLT M12
ONGC,ONGC-1043,HEX BOLT M12 100
BHEL,BHEL-1044,HEX BOLT M12 100 SS304
BHEL,BHEL-1045,HEX BLOT M12 100 SS316
ONGC,ONGC-1046,HEX BLOT M12 100 SS316
CPCL,CPCL-1047,HEX BOLT M12 100 SS316
BHEL,BHEL-1048,HEX BOLT M12 100 CS
CPCL,CPCL-1049,100 MS HEX BOLT M12
ONGC,ONGC-1050,HEX BOLT M12 100 MS
SAIL,SAIL-1051,HEX BOLT M12 100 MS
NTPC,NTPC-1052,HEX BOLT M12 100
SAIL,SAIL-1053,HEX BOLT M12 100 HT
BHEL,BHEL-1054,100 HT HEX BOLT M12
SAIL,SAIL-1055,40 SS304 HEX BOLT M16
BHEL,BHEL-1056,HEX BOLT M16 40 SS304
SAIL,SAIL-1057,HEX BOLT M16 40 SS316
BHEL,BHEL-1058,HEX BOLT M16 40 SS316
CPCL,CPCL-1059,HEX BOLT M16 40 SS316
ONGC,ONGC-1060,40 CS HEX BOLT M16
NTPC,NTPC-1061,HEX BLOT M16 40 CS
BHEL,BHEL-1062,HEX BOLT M16 40 MS
NTPC,NTPC-1063,HEX BOLT M16 40 MS
BHEL,BHEL-1064,HEX BOLT M16 40
CPCL,CPCL-1065,HEX BOLT M16 40 HT
SAIL,SAIL-1066,HEX BOLT M16 50 SS304
BHEL,BHEL-1067,HEX BOLT M16 50
ONGC,ONGC-1068,HEX BLOT M16 50 SS316
BHEL,BHEL-1069,HEX BOLT M16 50 CS
ONGC,ONGC-1070,HEX BLOT M16 50 MS
CPCL,CPCL-1071,HEX BLOT M16 50 MS
NTPC,NTPC-1072,HEX BOLT M16 50
CPCL,CPCL-1073,HEX BOLT M16 50
SAIL,SAIL-1074,50 HT HEX BOLT M16
NTPC,NTPC-1075,50 HT HEX BOLT M16
BHEL,BHEL-1076,HEX BOLT M16 60 SS304
NTPC,NTPC-1077,HEX BOLT M16 60 SS304
CPCL,CPCL-1078,HEX BLOT M16 60 SS304
ONGC,ONGC-1079,HEX BLOT M16 60 SS316
SAIL,SAIL-1080,HEX BOLT M16 60
CPCL,CPCL-1081,60 SS316 HEX BOLT M16
NTPC,NTPC-1082,HEX BOLT M16 60 CS
BHEL,BHEL-1083,HEX BOLT M16 60 CS
CPCL,CPCL-1084,HEX BLOT M16 60 CS
ONGC,ONGC-1085,HEX BOLT M16 60 MS
SAIL,SAIL-1086,60 MS HEX BOLT M16
SAIL,SAIL-1087,HEX BLOT M16 60 HT
CPCL,CPCL-1088,60 HT HEX BOLT M16
SAIL,SAIL-1089,75 SS304 HEX BOLT M16
CPCL,CPCL-1090,HEX BOLT M16 75 SS304
ONGC,ONGC-1091,HEX BOLT M16 75 SS316
NTPC,NTPC-1092,HEX BOLT M16 75
SAIL,SAIL-1093,HEX BOLT M16 75
BHEL,BHEL-1094,HEX BOLT M16 75 CS
CPCL,CPCL-1095,HEX BLOT M16 75 MS
SAIL,SAIL-1096,HEX BOLT M16 75 HT
NTPC,NTPC-1097,75 HT HEX BOLT M16
CPCL,CPCL-1098,HEX BOLT M16 100 SS304
ONGC,ONGC-1099,100 SS304 HEX BOLT M16
